Month,Category,Region,Sales ($),Profit ($),Units Sold
Jun,Furniture,West,2466,1583,74
Jun,Cosmetics,East,1735,1208,154
Feb,Cosmetics,East,1339,1741,31
Jul,Electronics,North,2376,499,109
Dec,Furniture,West,5719,2503,23
Feb,Electronics,North,1704,2246,15
Jun,Electronics,South,4724,1644,167
Jan,Sports,North,9189,2665,56
Mar,Toys,South,5418,207,157
Feb,Clothing,West,6259,2084,153
Jul,Furniture,West,1552,2097,43
Apr,Cosmetics,West,4491,251,10
Aug,Cosmetics,West,1789,1005,185
Jun,Clothing,North,2173,949,17
Dec,Furniture,South,1552,2896,31
Oct,Cosmetics,East,4422,2092,77
Apr,Cosmetics,West,5211,126,43
May,Sports,West,9823,218,197
Sep,Electronics,South,1269,822,182
Jul,Cosmetics,East,1860,2247,46
Oct,Toys,West,1290,102,130
Sep,Furniture,East,6870,905,32
Jul,Toys,West,1629,2092,93
Dec,Clothing,North,8007,1229,126
Jan,Sports,North,6943,1353,33
Dec,Furniture,East,1474,403,150
Aug,Sports,South,5632,276,78
Apr,Electronics,South,5080,183,89
Mar,Cosmetics,North,2760,362,69
Jul,Furniture,South,5708,1319,47
Dec,Clothing,South,7920,2605,185
Mar,Electronics,South,4398,2556,163
Aug,Electronics,East,4561,2353,86
Jun,Sports,East,4844,2967,94
May,Electronics,South,4804,901,138
Apr,Furniture,North,2508,994,13
Aug,Sports,South,5110,972,123
Aug,Electronics,West,5853,487,89
Dec,Clothing,North,7831,1935,118
Jan,Toys,East,9195,2914,150
Sep,Furniture,West,4447,2103,176
May,Clothing,South,6584,1131,40
Apr,Clothing,South,4791,1749,161
Jun,Sports,North,6081,1640,137
Jun,Cosmetics,North,1833,549,88
Feb,Sports,South,6335,441,14
Aug,Furniture,South,6487,1196,136
Jul,Furniture,North,7260,959,186
Jan,Sports,West,3175,2268,95
May,Cosmetics,East,5173,401,95
Dec,Sports,North,3788,2119,148
Jun,Furniture,West,8460,980,33
Apr,Cosmetics,South,9533,2381,54
Feb,Furniture,East,7721,165,120
Apr,Cosmetics,West,5191,329,43
Jan,Cosmetics,East,8312,1021,148
Jul,Sports,East,9187,1932,194
Feb,Sports,East,5616,150,166
Feb,Sports,West,1995,2806,159
Sep,Cosmetics,West,1356,486,170
May,Cosmetics,South,9377,1161,131
Feb,Furniture,East,2693,852,186
Nov,Clothing,North,3590,1296,118
Sep,Sports,North,8921,2640,32
Sep,Toys,North,2691,1891,38
Jan,Furniture,West,3057,1578,15
Nov,Furniture,South,3904,2188,61
Mar,Electronics,West,5451,2044,98
Apr,Sports,East,7937,1252,98
Jul,Furniture,North,3380,1177,131
Oct,Electronics,West,9208,2233,151
Apr,Toys,North,9515,2443,26
Feb,Toys,West,3070,1338,37
Jul,Sports,North,1930,524,18
Jun,Cosmetics,East,2444,2336,124
Mar,Electronics,North,9594,260,133
Jun,Cosmetics,East,4402,2860,13
Nov,Toys,East,5552,1664,157
Jun,Toys,West,2521,2528,178
Dec,Clothing,West,4098,343,45
May,Clothing,West,9120,282,143
Apr,Clothing,East,8355,643,74
Oct,Clothing,South,3187,2926,187
Dec,Furniture,South,3568,1671,12
Jan,Clothing,East,9283,192,46
Oct,Furniture,East,5947,2515,118
Jun,Furniture,West,5940,258,12
Feb,Sports,West,5762,2545,170
Mar,Furniture,West,2753,537,196
Aug,Furniture,South,6054,2520,152
Oct,Clothing,South,5892,405,65
Jun,Furniture,East,6781,2073,70
Mar,Cosmetics,South,1087,1081,77
Jul,Clothing,West,2641,2476,88
Apr,Electronics,West,3962,1988,80
Sep,Clothing,West,6413,442,120
May,Furniture,West,8420,2871,199
Mar,Cosmetics,West,9742,1988,32
Feb,Clothing,North,7910,2001,23
Nov,Cosmetics,East,6173,2305,143
Feb,Electronics,East,6229,1233,42
Mar,Toys,South,9815,2497,18
Feb,Electronics,West,4757,2873,149
Apr,Toys,North,5796,464,126
Feb,Sports,West,4292,2020,104
Oct,Toys,West,4832,2162,188
Sep,Sports,South,3611,2300,12
Feb,Clothing,North,9353,631,193
Sep,Sports,North,9228,1175,55
Jun,Cosmetics,East,7766,954,45
Jan,Sports,West,8537,568,150
Apr,Cosmetics,North,6296,1444,22
Jan,Toys,East,4346,978,195
Jun,Toys,North,5054,2743,94
Apr,Toys,West,5200,466,171
Mar,Sports,East,9527,2102,52
Mar,Toys,North,2560,740,137
Sep,Sports,South,8522,961,165
Jun,Sports,North,5164,1534,193
Sep,Furniture,West,7720,688,56
May,Furniture,South,9853,1429,172
Feb,Sports,North,6439,191,28
Aug,Cosmetics,North,5852,557,92
May,Clothing,East,7595,1175,106
Feb,Electronics,West,7713,1984,188
Apr,Furniture,North,4183,1244,108
Sep,Sports,North,9032,2094,157
Apr,Electronics,North,3409,2014,38
Dec,Furniture,West,5298,2139,137
Dec,Clothing,South,3534,1615,81
Dec,Cosmetics,West,6599,1503,74
Apr,Sports,East,1003,486,47
Feb,Clothing,East,1026,2081,186
Dec,Furniture,West,6161,1730,133
Jun,Sports,North,1964,1784,103
Nov,Electronics,North,7207,1412,165
Feb,Toys,South,4096,1892,42
Dec,Cosmetics,West,1071,470,22
Jul,Furniture,West,6601,2331,181
Mar,Cosmetics,North,3947,871,110
Mar,Sports,East,7238,1785,189
May,Toys,East,5490,304,136
Mar,Clothing,South,3411,1053,86
Feb,Cosmetics,South,9308,2319,130
Oct,Electronics,East,3924,924,178
Sep,Furniture,West,3837,321,58
Feb,Electronics,South,1576,1291,119
Nov,Cosmetics,North,9963,1179,144
Feb,Toys,West,8907,1698,45
Aug,Clothing,North,9391,2762,102
Sep,Clothing,South,2755,2008,163
Jul,Electronics,East,9371,266,164
Mar,Sports,South,3405,1642,33
Sep,Sports,East,7883,241,90
Mar,Toys,West,9163,2272,170
May,Clothing,South,7139,189,107
Sep,Electronics,South,3988,410,155
Dec,Electronics,South,6784,1494,114
Mar,Electronics,West,2119,2363,14
Jul,Cosmetics,North,3214,1309,138
Dec,Toys,North,9000,982,80
Jan,Sports,East,9065,860,131
Apr,Sports,South,3901,2243,12
Apr,Cosmetics,North,2085,2857,45
Jul,Furniture,West,1173,1459,172
Aug,Cosmetics,South,4532,1638,188
Jan,Toys,East,2238,248,130
May,Electronics,North,5834,814,149
Jul,Cosmetics,West,4813,1525,24
Dec,Electronics,West,8084,1817,141
Apr,Toys,East,9012,1454,193
Apr,Toys,North,2973,1350,25
Apr,Clothing,South,4782,1927,143
Dec,Electronics,West,3244,2505,72
Jun,Sports,East,9604,2735,32
Jul,Cosmetics,West,8221,2463,86
Feb,Toys,West,8814,1632,181
May,Electronics,North,2382,1601,10
Apr,Furniture,North,2123,1551,194
Mar,Clothing,South,6181,549,85
Jul,Furniture,West,5012,1935,36
Nov,Toys,East,3243,2992,34
Dec,Furniture,West,3589,189,95
Jun,Furniture,East,2129,2688,71
Jul,Clothing,West,9836,275,155
May,Clothing,East,7299,1543,102
Jun,Clothing,West,5501,1855,39
May,Clothing,West,8039,2795,167
Jul,Furniture,South,3773,2113,93
Feb,Sports,North,3785,2834,184
Nov,Sports,North,7940,2541,159
May,Clothing,East,2706,1389,134
Jun,Cosmetics,West,3601,603,179
Jun,Electronics,West,9566,1055,43
May,Toys,North,2612,1400,13
Oct,Cosmetics,East,1454,2247,40
Jul,Toys,South,5297,1565,60
Oct,Cosmetics,South,2475,524,59
Aug,Cosmetics,South,9915,1997,23
Jul,Sports,West,2391,1153,17
May,Electronics,East,9453,1005,110
Jan,Cosmetics,North,9008,2643,78
May,Clothing,West,9734,1986,145
Oct,Toys,West,9742,750,148
Feb,Sports,South,6425,1097,38
May,Toys,East,1637,2026,192
May,Clothing,East,9356,1310,176
Feb,Clothing,South,3805,2287,150
May,Cosmetics,South,9812,2467,73
Apr,Clothing,South,2223,468,58
Jan,Electronics,West,4342,2444,28
Mar,Clothing,West,9242,2943,136
Jan,Cosmetics,West,1488,2147,92
Dec,Toys,North,6142,2648,105
Nov,Clothing,North,9856,358,124
May,Sports,East,2246,1736,112
Apr,Sports,South,7061,1667,189
Jul,Sports,South,3710,1244,126
May,Toys,West,5361,117,87
Oct,Furniture,North,4952,1432,80
Apr,Sports,South,1880,2003,29
Feb,Sports,East,1434,1756,105
Apr,Furniture,South,7124,209,119
Dec,Toys,West,9104,430,191
Feb,Sports,West,6184,1696,104
Aug,Cosmetics,North,2984,1045,95
Mar,Toys,East,3798,1387,142
Sep,Sports,East,8603,367,104
Apr,Sports,South,2493,534,88
Jun,Furniture,East,3679,2135,199
Oct,Cosmetics,South,2625,2597,154
May,Toys,South,4017,2444,190
Oct,Clothing,North,2847,2041,46
Jan,Electronics,East,4246,1713,28
Sep,Cosmetics,West,2316,818,147
Jan,Clothing,South,2950,2331,53
Aug,Cosmetics,South,1223,2559,186
Sep,Clothing,South,3026,2467,98
Sep,Clothing,East,2547,840,46
Jan,Cosmetics,East,4778,1699,67
Feb,Furniture,East,7511,1449,137
Dec,Cosmetics,South,6785,1690,152
Jan,Cosmetics,West,8757,904,157
Oct,Clothing,West,4723,516,192
Feb,Electronics,East,2523,981,150
Oct,Clothing,West,2972,890,157
Dec,Sports,South,5604,2075,52
Aug,Cosmetics,East,1616,1826,178
May,Toys,East,5515,2027,57
Dec,Cosmetics,South,6191,1908,65
Nov,Furniture,East,6774,1730,120
Jul,Toys,South,3621,2237,181
Feb,Clothing,East,3093,2906,184
Aug,Furniture,West,4176,1198,187
Nov,Cosmetics,East,8484,2721,41
Jun,Clothing,East,4570,1390,63
Aug,Clothing,East,2066,1944,176
Jan,Sports,North,3146,525,195
Jan,Sports,West,1705,982,70
Dec,Electronics,South,3358,1937,119
Jul,Sports,North,4534,885,120
Aug,Toys,West,4812,634,109
Mar,Clothing,East,4768,1734,156
May,Sports,East,6978,384,78
Dec,Electronics,South,3319,2769,159
Jan,Cosmetics,South,9163,1229,172
Jul,Toys,West,6221,603,147
May,Sports,West,1209,145,152
Aug,Clothing,South,5834,1570,11
Aug,Cosmetics,West,3807,1267,159
Sep,Clothing,South,4962,636,121
Jul,Cosmetics,East,3390,161,108
Nov,Toys,South,6519,1865,112
Jan,Clothing,North,5794,1205,21
Mar,Sports,South,3444,2483,134
Aug,Sports,South,9332,310,199
Mar,Electronics,North,9483,2547,54
Aug,Cosmetics,North,3864,808,195
Jan,Electronics,North,5177,2494,157
May,Furniture,North,3607,2127,188
Apr,Sports,South,4936,476,16
May,Cosmetics,West,3917,1285,161
Aug,Toys,North,3218,2968,76
Oct,Electronics,East,2797,2191,79
Apr,Toys,South,9771,2947,106
Nov,Toys,West,3573,886,62
Apr,Toys,East,3589,832,171
Mar,Electronics,South,4283,1067,170
Jul,Furniture,South,2461,2799,102
Mar,Electronics,East,5417,621,160
Dec,Clothing,North,1713,2258,67
Mar,Sports,North,3423,2755,78
Nov,Electronics,East,8220,1178,177
Oct,Electronics,West,2890,623,56
May,Furniture,North,4567,2293,52
May,Clothing,South,6375,2411,198
Jun,Electronics,South,3147,567,179
Aug,Sports,West,2806,1684,71
Oct,Sports,South,5051,1310,64
Jun,Electronics,North,9751,2086,116
Dec,Toys,West,9820,2826,58
Jan,Toys,North,4762,1848,115
Aug,Clothing,West,9240,857,186
Aug,Sports,East,7910,1277,87
Sep,Toys,South,7173,1018,128
Sep,Sports,West,3132,1219,170
Feb,Clothing,East,7932,2722,37
Feb,Clothing,North,2525,805,66
Mar,Toys,East,1328,2058,178
Jan,Electronics,North,3657,933,129
Apr,Cosmetics,West,9779,2961,129
Apr,Furniture,West,6972,498,13
Sep,Cosmetics,South,6368,1907,29
Sep,Cosmetics,South,6971,1499,126
Sep,Sports,West,4205,2749,98
Oct,Clothing,North,7833,427,172
Jul,Sports,North,7141,1395,62
Feb,Toys,West,8532,1720,48
Oct,Furniture,North,8907,2542,62
May,Toys,West,2598,2695,130
Apr,Electronics,South,4851,1141,95
Dec,Furniture,North,8582,1018,108
Nov,Sports,South,8823,176,127
Aug,Sports,East,5607,1172,101
Feb,Toys,South,6507,1549,147
Jun,Sports,East,6934,1871,122
May,Sports,South,6568,1679,92
Dec,Cosmetics,South,5659,1117,74
Feb,Electronics,North,5398,228,10
Nov,Cosmetics,South,7242,618,190
Oct,Sports,West,7611,2451,183
Jan,Clothing,North,7712,1235,163
Aug,Cosmetics,North,3023,2872,139
Feb,Sports,North,7176,1011,37
Jul,Sports,South,5507,915,93
Sep,Electronics,North,4185,1073,164
Sep,Toys,East,8723,2062,37
Aug,Furniture,East,1195,2966,133
Nov,Cosmetics,South,2106,2510,40
Dec,Cosmetics,North,3789,1189,184
Oct,Cosmetics,West,9730,1900,144
Sep,Sports,West,5784,908,81
Feb,Electronics,East,1718,1442,57
Jun,Sports,South,8076,1137,35
Apr,Sports,South,4995,669,192
Apr,Toys,South,1305,1069,98
May,Clothing,South,6430,1979,144
Dec,Electronics,South,9579,2500,114
Mar,Cosmetics,North,9916,709,66
Jan,Furniture,North,9186,2615,124
Aug,Cosmetics,North,3596,2083,195
May,Sports,West,3435,487,129
Mar,Electronics,North,9370,1797,10
Oct,Electronics,South,2903,858,91
Jul,Electronics,South,4383,1961,38
Jul,Clothing,West,5175,2589,159
Jan,Cosmetics,West,8181,615,177
Dec,Clothing,East,5542,1941,199
Sep,Toys,West,6491,2990,23
Feb,Furniture,East,9287,144,139
May,Toys,North,2283,1542,172
May,Sports,South,1247,822,80
Aug,Clothing,East,7642,855,134
Aug,Clothing,East,1981,2350,88
Jul,Toys,East,5363,2008,116
Jul,Sports,West,2565,2686,107
Dec,Electronics,West,3141,485,159
Nov,Sports,West,1735,2130,27
Jun,Cosmetics,East,1448,2777,55
Jun,Toys,North,8534,2885,91
Nov,Sports,South,2835,459,132
Sep,Electronics,West,5715,1591,107
Jun,Sports,North,1613,1082,173
Dec,Clothing,West,7234,2067,55
Feb,Furniture,West,6628,304,112
Feb,Clothing,East,1876,1172,46
May,Furniture,East,1671,465,27
Apr,Sports,West,2630,2400,180
Nov,Cosmetics,South,8439,2225,113
Feb,Sports,West,1360,868,166
Mar,Electronics,South,8373,2779,155
Jul,Sports,North,4901,1086,152
Aug,Furniture,West,1797,516,196
Dec,Clothing,South,2783,1561,131
Jun,Cosmetics,North,8051,2459,103
Nov,Sports,North,1066,1266,109
May,Sports,East,6677,296,37
Jan,Clothing,North,3090,2407,190
Aug,Cosmetics,East,7070,1489,24
Mar,Toys,North,6932,2743,137
Jun,Sports,North,9425,1315,52
Mar,Sports,South,2055,2681,42
Jul,Toys,South,7256,2171,139
Jul,Furniture,East,4347,1198,196
Dec,Furniture,West,5101,2001,17
Sep,Electronics,South,8507,1769,121
May,Clothing,North,9685,1517,42
Aug,Cosmetics,East,4179,2826,172
Oct,Sports,East,7214,2257,155
Oct,Sports,East,2363,2237,99
Aug,Electronics,North,8267,136,158
Jan,Sports,South,2056,2969,165
Dec,Clothing,West,1142,1092,125
May,Electronics,East,5831,1686,182
Mar,Clothing,North,8799,671,29
Jan,Electronics,South,3264,2731,132
Apr,Sports,South,2924,406,141
Aug,Electronics,West,3481,2209,45
Mar,Furniture,East,7977,404,107
Oct,Cosmetics,North,8896,2326,86
Feb,Sports,South,4125,2687,189
Nov,Toys,North,8050,1867,135
Sep,Cosmetics,South,7011,1031,48
Oct,Sports,East,5150,2992,80
May,Cosmetics,East,8004,1567,115
Jul,Furniture,West,2220,1642,149
Nov,Cosmetics,South,5661,2092,64
Nov,Electronics,North,5866,2897,127
Feb,Cosmetics,South,2797,2886,103
Sep,Sports,North,6974,896,185
Sep,Toys,West,3871,1634,107
Apr,Toys,South,9705,846,18
Apr,Clothing,East,2617,2774,149
Jun,Cosmetics,North,8005,552,78
Oct,Toys,East,7071,930,92
Oct,Cosmetics,West,5612,857,194
Oct,Toys,West,4757,960,37
Jun,Cosmetics,North,3032,2075,26
Dec,Sports,South,9896,1652,31
Jan,Cosmetics,East,5953,2018,172
Sep,Sports,East,5314,918,122
Feb,Sports,North,5663,1492,196
May,Clothing,North,8051,1979,156
Sep,Toys,North,6632,480,187
Apr,Electronics,West,6496,1342,163
Nov,Sports,West,1892,748,117
Mar,Toys,East,1971,345,69
Jul,Furniture,South,1102,2398,53
Jun,Cosmetics,North,7051,664,193
Aug,Furniture,West,6145,920,52
Mar,Cosmetics,South,4246,2862,160
May,Clothing,North,6854,571,159
Oct,Sports,South,4712,2116,184
Apr,Electronics,North,4417,221,64
Apr,Sports,South,7445,1449,20
Apr,Cosmetics,East,6417,880,64
Oct,Electronics,North,5151,2895,163
Aug,Sports,North,7517,220,138
Jun,Electronics,East,4659,2286,199
Mar,Cosmetics,North,8506,2234,158
Oct,Clothing,North,5552,2277,17
May,Clothing,West,6673,2399,157
Jun,Sports,East,3157,1985,182
May,Furniture,West,1581,2934,90
Jun,Cosmetics,East,1795,1483,88
Aug,Sports,South,2883,1936,74
Jul,Sports,East,7044,146,69
May,Clothing,East,6220,2068,104
Oct,Electronics,West,1572,2648,65
Jun,Cosmetics,North,2206,1933,137
Apr,Electronics,East,4080,2572,131
Dec,Toys,North,3460,1498,40
Sep,Toys,East,5005,1977,94
Apr,Cosmetics,West,5925,830,96
Jan,Furniture,East,3613,210,135
Jul,Toys,South,2715,1350,90
Jul,Clothing,East,6245,1910,31
Apr,Furniture,East,2569,234,199
Mar,Sports,North,1676,1418,65
Aug,Toys,North,3513,709,95
May,Clothing,South,9992,1157,132
Oct,Sports,East,4052,2575,120
Jul,Furniture,North,3031,2088,17
Apr,Cosmetics,East,2508,2346,71
Apr,Sports,West,5329,659,87
Aug,Electronics,West,1912,358,161
Aug,Cosmetics,South,6243,2872,31
Feb,Cosmetics,West,6322,2821,24
Feb,Furniture,North,2055,1748,165
Mar,Furniture,North,8630,2284,159
Dec,Clothing,South,8107,1015,40
Dec,Clothing,East,6670,2528,199
Mar,Electronics,North,2750,337,96
Jan,Cosmetics,West,8575,787,78
Mar,Electronics,North,7387,2605,118
Jun,Electronics,South,4012,1710,176
Aug,Furniture,West,4428,1258,90
Dec,Electronics,West,7463,2229,49
Oct,Electronics,West,6138,694,78
Jun,Sports,South,9548,2801,192
May,Clothing,South,7260,1850,80
Apr,Clothing,East,6255,502,73
Mar,Cosmetics,East,5391,921,17
Apr,Clothing,East,8547,2335,80
Jul,Toys,South,8322,2640,95
Jan,Cosmetics,West,6224,1882,53
Jul,Sports,West,8951,2402,47
Jan,Clothing,North,2989,1797,126
Feb,Sports,East,9720,2572,158
Apr,Clothing,West,3604,1538,13
Jan,Clothing,West,3407,1290,169
Nov,Sports,West,1063,1713,64
Dec,Electronics,West,3812,584,102
Nov,Electronics,South,5027,2583,197
Nov,Electronics,East,1101,1655,68
Sep,Toys,West,4135,2327,103
Dec,Electronics,West,2180,1000,76
Jun,Clothing,West,6509,1564,14
Jan,Furniture,West,8530,743,92
Jan,Sports,North,3728,2286,81
Jun,Furniture,West,8631,886,136
Apr,Toys,West,9590,2249,46
Apr,Furniture,West,1404,2615,36
Nov,Cosmetics,North,3873,2430,22
Jun,Electronics,South,4268,117,143
Dec,Toys,North,3694,2056,74
Nov,Clothing,West,3467,855,167
Jul,Electronics,South,5315,786,189
Sep,Electronics,West,2921,2136,50
Oct,Furniture,South,4959,700,24
May,Cosmetics,West,7840,1143,142
Sep,Electronics,West,5848,1449,24
Apr,Sports,South,8623,1479,10
Oct,Sports,South,4368,532,24
Feb,Electronics,West,8872,1141,197
Mar,Furniture,North,1679,1673,57
Nov,Furniture,North,8506,475,191
Jan,Clothing,North,1747,1724,192
Jun,Toys,North,2321,1463,81
Jun,Toys,South,8927,1110,126
Jan,Toys,South,4748,815,36
Nov,Cosmetics,North,6862,1356,167
Mar,Furniture,East,5789,1227,69
May,Clothing,East,1533,1123,75
Mar,Sports,East,2818,2884,183
Oct,Toys,West,3341,320,61
Mar,Sports,North,7694,2085,90
Oct,Sports,West,6006,1149,44
Mar,Electronics,South,5545,1187,130
May,Cosmetics,South,8227,2401,51
May,Clothing,East,5907,2883,193
Apr,Cosmetics,East,8978,925,54
Jan,Electronics,South,5485,1254,61
May,Clothing,East,2235,129,160
Oct,Clothing,East,8655,886,166
May,Furniture,South,2145,109,38
Apr,Cosmetics,West,8420,2577,66
Jun,Cosmetics,East,2475,1270,28
Oct,Furniture,West,3921,2845,17
Apr,Sports,East,6679,2271,187
Jul,Electronics,North,8696,1742,144
Jul,Cosmetics,West,6415,1464,148
Feb,Furniture,West,5938,1641,75
Mar,Clothing,East,2604,150,92
Jan,Toys,West,6047,497,165
Aug,Furniture,North,9743,413,193
Sep,Toys,South,9175,2795,37
Apr,Sports,North,8619,613,98
Jun,Electronics,South,7117,2649,84
Sep,Toys,North,8929,629,49
Jun,Sports,North,2836,1884,139
Dec,Toys,West,6904,2844,85
Dec,Clothing,North,7476,2881,198
Dec,Clothing,East,8273,1863,85
Sep,Clothing,East,2382,959,123
Apr,Clothing,East,4400,2566,162
Aug,Furniture,East,9056,2341,104
Sep,Clothing,West,9226,411,63
Apr,Clothing,East,3204,1095,154
May,Furniture,North,4344,2869,185
Aug,Clothing,East,4014,1422,149
Dec,Sports,West,8919,2623,198
Oct,Sports,South,2628,2731,11
Jun,Cosmetics,North,7764,2264,89
Dec,Sports,North,6745,363,74
Jul,Electronics,West,9996,1642,61
Mar,Electronics,South,2290,120,43
Jul,Electronics,East,8010,2624,54
Dec,Furniture,South,3586,648,138
Aug,Sports,North,7123,1296,109
Oct,Electronics,North,5930,1047,61
Jun,Cosmetics,North,3550,1120,76
Oct,Furniture,South,1955,305,107
Sep,Cosmetics,East,9771,1736,85
Jun,Sports,North,2997,730,65
Dec,Clothing,West,7983,2326,195
Sep,Cosmetics,East,8129,2489,118
Apr,Clothing,North,3130,539,59
Aug,Furniture,East,8209,1198,110
Nov,Cosmetics,West,7299,389,128
Apr,Cosmetics,South,4740,2704,162
Feb,Toys,North,3500,2796,149
Oct,Furniture,West,8451,307,124
Nov,Furniture,North,6307,371,82
Sep,Electronics,North,7767,514,65
May,Sports,South,2497,483,59
Apr,Cosmetics,South,9813,1384,165
Feb,Cosmetics,East,4144,990,12
Jan,Furniture,West,9025,1762,175
Nov,Furniture,West,1292,1141,73
Jul,Sports,South,9846,2807,63
Jun,Furniture,North,3804,2394,45
Feb,Clothing,East,8604,1419,181
Aug,Clothing,South,8139,2561,53
Nov,Toys,East,8828,1443,128
Apr,Clothing,East,7203,1677,102
Aug,Clothing,West,2621,2862,190
Jul,Sports,East,8871,1816,150
May,Cosmetics,West,5014,1984,181
Oct,Clothing,North,4505,2328,141
Oct,Toys,North,9710,1779,79
Dec,Furniture,South,3685,1043,188
Aug,Clothing,North,1027,992,111
Sep,Toys,West,1265,160,20
May,Sports,East,8105,1332,191
Oct,Furniture,East,7906,265,119
May,Toys,North,6075,2005,199
Feb,Clothing,West,6819,1423,196
May,Cosmetics,East,1810,754,70
Mar,Furniture,North,5676,450,177
Jul,Furniture,West,4390,2410,141
Oct,Cosmetics,West,1610,2271,164
May,Furniture,East,5546,1665,25
Aug,Clothing,South,6027,1031,16
Jan,Furniture,South,6724,2004,20
Mar,Clothing,West,1202,1213,73
Mar,Cosmetics,West,1401,2286,189
Sep,Electronics,North,3027,2089,137
May,Cosmetics,West,1178,1485,15
Dec,Clothing,North,6817,1216,129
Sep,Sports,North,2979,233,57
Sep,Cosmetics,North,8185,1327,78
Jan,Sports,West,4984,2966,130
Feb,Sports,West,6665,1971,15
May,Clothing,North,6021,1117,198
Apr,Clothing,East,6522,2604,94
Oct,Electronics,West,6512,1981,119
Sep,Toys,South,3983,537,190
Jul,Furniture,East,9542,779,37
Jun,Cosmetics,South,5282,2794,118
Jul,Clothing,West,6528,2769,142
Jan,Cosmetics,East,8988,1347,90
Jan,Toys,West,8275,1291,110
Aug,Toys,West,3787,1230,67
Feb,Sports,East,5626,1503,33
Dec,Furniture,West,7561,2171,168
Oct,Electronics,East,7352,1634,178
Nov,Cosmetics,West,5808,2956,77
Sep,Furniture,North,9629,1430,116
Jul,Electronics,South,6888,1034,183
Jun,Cosmetics,North,6737,1481,19
Jan,Furniture,West,3358,469,174
Jan,Clothing,West,9574,1096,158
Feb,Cosmetics,West,6390,2318,30
Jun,Furniture,North,5216,1704,133
Jun,Toys,West,1406,2369,122
Feb,Electronics,East,5340,2590,106
Jan,Furniture,South,1065,1276,147
Oct,Clothing,West,1227,475,91
May,Cosmetics,West,3184,2428,106
May,Cosmetics,South,7800,2860,102
Feb,Cosmetics,South,8751,2043,104
Jun,Clothing,South,6823,1057,33
Sep,Electronics,North,2180,910,133
Feb,Cosmetics,North,2101,926,149
Oct,Electronics,West,3099,1945,157
Feb,Furniture,South,1513,2633,145
Mar,Toys,West,2832,1633,87
Jul,Toys,West,8137,434,142
Jun,Electronics,West,6807,2889,63
Dec,Electronics,North,4116,509,45
Aug,Toys,South,6850,153,121
Aug,Cosmetics,West,8598,800,175
Jun,Sports,North,5343,1857,140
Dec,Sports,East,5628,1198,173
Nov,Clothing,East,7184,2496,31
Oct,Toys,West,9981,1074,17
Mar,Toys,West,2300,492,198
Mar,Clothing,South,2947,653,135
Jan,Sports,South,3242,2994,87
Jul,Furniture,West,2358,2228,16
May,Cosmetics,North,4656,925,77
Apr,Cosmetics,West,1307,843,71
Oct,Furniture,South,2450,1570,156
Apr,Furniture,South,8366,2324,116
Apr,Sports,North,3123,2658,184
Jun,Clothing,West,5882,238,33
Aug,Furniture,South,3842,2620,143
Aug,Clothing,West,2664,1945,145
May,Electronics,South,7373,641,162
Jun,Cosmetics,East,4948,2341,98
Apr,Sports,East,5072,1956,116
Dec,Cosmetics,East,4634,2633,50
Nov,Sports,South,1214,1437,195
Sep,Electronics,North,4072,1820,197
Aug,Cosmetics,East,5472,2952,119
Oct,Electronics,South,3459,2394,140
Dec,Sports,West,4706,2777,18
Oct,Furniture,East,2206,2585,189
Jan,Cosmetics,North,9601,172,195
Feb,Electronics,North,4469,2901,197
Sep,Toys,North,9407,2978,91
Aug,Cosmetics,West,5847,2241,186
Mar,Cosmetics,West,1348,534,103
Aug,Cosmetics,North,4651,1906,142
Dec,Clothing,North,3878,2145,199
Jan,Electronics,North,5749,556,125
Oct,Electronics,West,4994,2376,169
Apr,Cosmetics,West,1002,2177,36
Mar,Furniture,South,2117,1748,161
Jun,Cosmetics,East,7883,434,175
Jul,Clothing,West,2517,759,153
Apr,Sports,North,5846,668,152
Jul,Clothing,East,4579,276,34
Sep,Furniture,West,3379,2971,13
Nov,Cosmetics,East,5264,2715,41
Feb,Electronics,South,3823,2556,182
Nov,Toys,West,1848,876,193
Mar,Cosmetics,North,6036,1360,44
May,Furniture,North,1205,1401,190
Mar,Electronics,South,1520,176,39
Nov,Clothing,South,4576,1032,112
Aug,Sports,South,6113,735,121
Dec,Sports,South,7258,2687,58
Oct,Cosmetics,South,7807,1777,103
Aug,Clothing,West,3134,1290,92
Aug,Toys,West,5838,1512,189
Dec,Toys,East,3475,111,139
Dec,Furniture,South,6817,2316,196
Sep,Sports,North,5545,930,174
Apr,Clothing,North,8793,1549,38
May,Cosmetics,South,1785,548,167
May,Electronics,South,9143,2596,127
Aug,Cosmetics,South,8708,1889,31
Jul,Cosmetics,South,5097,526,111
Sep,Clothing,South,6197,1015,28
Aug,Sports,North,3157,730,76
Feb,Clothing,East,9870,325,95
Oct,Electronics,South,4528,546,27
Dec,Clothing,South,4559,2010,118
Apr,Furniture,South,9134,1599,122
Jun,Cosmetics,West,9562,2350,142
Dec,Sports,North,3937,774,148
Feb,Toys,North,9172,1420,67
Jul,Electronics,East,9138,2781,27
Mar,Toys,West,6141,2163,81
Mar,Cosmetics,West,1721,1501,102
Nov,Clothing,West,1923,2765,193
Feb,Toys,East,6391,1143,159
Nov,Furniture,East,8657,2587,65
Aug,Clothing,East,1835,1367,32
Jun,Cosmetics,West,3493,1367,25
